,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
305083,Venezuela (Bolivar. Rep.),Fuel oil - Other energy industry own use,2002,"Metric tons,  thousand",53.0,,fuel_oil
733417,Austria,Motor Gasoline - Final energy consumption,2001,"Metric tons,  thousand",1990.0,,motor_gasoline
43695,Romania,Biodiesel - Imports,2012,"Metric tons,  thousand",106.0,,biodiesel
821781,Kyrgyzstan,Natural gas (including LNG) - Memo:Gross production,1992,Terajoules,2444.0,,natural_gas_including_lng
219089,Austria,"Electricity - net installed capacity of electric power plants, public wind",2003,"Kilowatts,  thousand",322.0,,electricity_net_installed_capacity_of_electric_power_plants
40223,Trinidad and Tobago,"Bagasse - Transformation in electricity, CHP and heat plants",1992,"Metric tons,  thousand",225.715802696158,,bagasse
481571,Somalia,Gas Oil/ Diesel Oil - Transformation in electricity plants - main activity producers,2014,"Metric tons,  thousand",86.0,1.0,gas_oil_diesel_oil
365863,Estonia,Fuelwood - Production,2006,"Cubic metres, thousand",2181.8281335522697,,fuelwood
29658,Suriname,"Bagasse - Consumption by manufacturing, construction and non-fuel industry",2008,"Metric tons,  thousand",19.56,,bagasse
1177560,France,Uranium - production,2008,Metric Tons,5.0,,uranium
999836,Egypt,Petroleum coke - production from refineries,1993,"Metric tons,  thousand",137.0,,petroleum_coke
435837,Niue,Gas Oil/ Diesel Oil - Final consumption,1997,"Metric tons,  thousand",0.5,1.0,gas_oil_diesel_oil
437732,Argentina,Gas Oil/ Diesel Oil - Final energy consumption,2013,"Metric tons,  thousand",10121.0,1.0,gas_oil_diesel_oil
470801,Jersey,Gas Oil/ Diesel Oil - Transformation,2007,"Metric tons,  thousand",2.17,1.0,gas_oil_diesel_oil
519301,Morocco,Hard coal - production,2001,"Metric tons,  thousand",2.0,,hard_coal
337,Italy,Additives and Oxygenates - Imports,2008,"Metric tons,  thousand",278.0,,additives_and_oxygenates
225919,"Korea, Republic of","Electricity - net installed capacity of electric power plants, self-producer solar",2014,"Kilowatts,  thousand",690.0,,electricity_net_installed_capacity_of_electric_power_plants
568571,Spain,"Industrial Waste - Consumption by manufacturing, construction and non-fuel industry",1996,Terajoules,3270.0,,industrial_waste
713870,Belize,Motor Gasoline - Consumption by transport,2011,"Metric tons,  thousand",88.82821700000001,,motor_gasoline
526800,"Korea, Republic of",Hard coal - transformation in blast furnaces,1994,"Metric tons,  thousand",2027.0,,hard_coal
76785,Uruguay,Bitumen - Stock changes,2008,"Metric tons,  thousand",-1.7,,bitumen
753612,Bermuda,Motor Gasoline - Total energy supply,1994,"Metric tons,  thousand",20.0,1.0,motor_gasoline
56471,Luxembourg,Biogasoline - Consumption by road,2014,"Metric tons,  thousand",5.0,,biogasoline
621981,Hungary,Lignite - Transformation in main activity CHP plants,1999,"Metric tons,  thousand",1883.0,,lignite
508478,Australia,Hard coal - exports,2008,"Metric tons,  thousand",252189.0,,hard_coal
756340,Myanmar,Motor Gasoline - Total energy supply,2011,"Metric tons,  thousand",548.52,,motor_gasoline
199071,Iceland,Direct use of geothermal heat - Consumption by households,2003,Terajoules,994.0,,direct_use_of_geothermal_heat
777425,Czechia,Naphtha - Stock changes,2003,"Metric tons,  thousand",-9.0,,naphtha
846960,Qatar,Natural gas liquids - Exports,2005,"Metric tons,  thousand",5283.0,,natural_gas_liquids
545694,Bulgaria,Heat - Consumption by mining and quarrying,2014,Terajoules,0.0,,heat
660221,Qatar,Liquefied petroleum gas (LPG) - production from plants,1997,"Metric tons,  thousand",1227.0,,liquified_petroleum_gas
