,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
403575,Finland,"Gas Oil/ Diesel Oil - Consumption by other manuf., const. and non-fuel min. ind.",2002,"Metric tons,  thousand",453.0,,gas_oil_diesel_oil
806838,Colombia,Natural gas (including LNG) - consumption not elsewhere specified (other),2004,Terajoules,5787.0,,natural_gas_including_lng
1104020,Costa Rica,Electricity - Gross production,1992,"Kilowatt-hours, million",4144.0,,total_electricity
1179193,Uruguay,White spirit and special boiling point industrial spirits - Exports,1995,"Metric tons,  thousand",0.0,,white_spirit_and_special_boiling_point_industrial_spirits
684507,Japan,Liquified Petroleum Gas (LPG) - Transformation in heat plants - main activity producers,1996,"Metric tons,  thousand",6.0,,liquified_petroleum_gas
301140,Slovenia,Fuel oil - Imports,1998,"Metric tons,  thousand",99.0,,fuel_oil
767791,Croatia,Naphtha - Exports,2011,"Metric tons,  thousand",95.0,,naphtha
900477,Denmark,"Other kerosene - Consumption in agriculture, forestry and fishing",1998,"Metric tons,  thousand",0.0,,other_kerosene
579256,Congo,Kerosene-type Jet Fuel - Consumption by transport,2007,"Metric tons,  thousand",12.0,,kerosene_type_jet_fuel
238929,Nicaragua,"Electricity - total net installed capacity of electric power plants, hydro",1998,"Kilowatts,  thousand",103.0,,electricity_net_installed_capacity_of_electric_power_plants
984836,Romania,Peat - production,2008,"Metric tons,  thousand",10.0,,peat
297655,Uruguay,Fuel oil - Final energy consumption,2010,"Metric tons,  thousand",146.4,,fuel_oil
414233,Costa Rica,"Gas Oil/ Diesel Oil - Consumption in agriculture, forestry and fishing",2010,"Metric tons,  thousand",32.34292,,gas_oil_diesel_oil
59643,Latvia,Biogasoline - Total energy supply,2012,"Metric tons,  thousand",11.0,,biogasoline
1183263,Tunisia,White spirit and special boiling point industrial spirits - Non-energy uses,2008,"Metric tons,  thousand",13.0,,white_spirit_and_special_boiling_point_industrial_spirits
498229,United States,"Hard coal - consumption by manufacturing, construction and non-fuel mining industry",2009,"Metric tons,  thousand",24176.0,,hard_coal
32473,Haiti,Bagasse - Final consumption,2009,"Metric tons,  thousand",139.469833,,bagasse
501951,United States,Hard coal - consumption by other consumers,1990,"Metric tons,  thousand",7811.0,,hard_coal
401942,Switzerland,Gas Oil/ Diesel Oil - Consumption by other,1991,"Metric tons,  thousand",4919.0,,gas_oil_diesel_oil
658249,Madagascar,Liquefied petroleum gas (LPG) - Production,1992,"Metric tons,  thousand",1.0,1.0,liquified_petroleum_gas
264307,Italy,Fuel oil - Consumption by machinery ,1991,"Metric tons,  thousand",370.0,,fuel_oil
117776,India,Brown coal - transformation,2003,"Metric tons,  thousand",23506.0,,brown_coal
382960,Italy,"Fuelwood - Transformation in electricity, CHP and heat plants",2002,"Cubic metres, thousand",1209.41434,1.0,fuelwood
886085,Denmark,Other hydrocarbons - transformation in CHP plants - main activity producers,1996,"Metric tons,  thousand",1312.0,,other_hydrocarbons
423854,Sweden,Gas Oil/ Diesel Oil - Consumption in road,1999,"Metric tons,  thousand",2382.0,,gas_oil_diesel_oil
713175,Republic of Moldova,Motor Gasoline - Consumption by other transportation,2009,"Metric tons,  thousand",0.0,,motor_gasoline
124871,Nigeria,Charcoal - Consumption by households,1990,"Metric tons,  thousand",254.0,,charcoal
1182535,Hungary,White spirit and special boiling point industrial spirits - Non-energy uses,2010,"Metric tons,  thousand",4.0,,white_spirit_and_special_boiling_point_industrial_spirits
266875,Myanmar,"Fuel oil - Consumption by manufacturing, construction and non-fuel industry",1997,"Metric tons,  thousand",66.0,,fuel_oil
467707,USSR (former),Gas Oil/ Diesel Oil - Total energy supply,1991,"Metric tons,  thousand",88142.0,,gas_oil_diesel_oil
174255,Argentina,Conventional crude oil - imports,1990,"Metric tons,  thousand",47.0,,conventional_crude_oil
942577,Netherlands,Other oil products n.e.c. - Non-energy uses,2010,"Metric tons,  thousand",292.0,,other_oil_products_n_e_c
1182356,Croatia,White spirit and special boiling point industrial spirits - Non-energy uses,2007,"Metric tons,  thousand",5.0,,white_spirit_and_special_boiling_point_industrial_spirits
199176,Spain,Direct use of geothermal heat - Consumption by households,2012,Terajoules,428.0,,direct_use_of_geothermal_heat
944825,Germany,Other oil products n.e.c. - Production,2005,"Metric tons,  thousand",1503.0,,other_oil_products_n_e_c
1003593,United States,Petroleum Coke - Transformation in CHP plants - autoproducers,2008,"Metric tons,  thousand",378.0,,petroleum_coke
249180,Namibia,"Electricity - total net installed capacity of electric power plants, main activity & autoproducer",2006,"Kilowatts,  thousand",393.0,,electricity_net_installed_capacity_of_electric_power_plants
686931,Aruba,Lubricants - Final consumption,1998,"Metric tons,  thousand",1.0,1.0,lubricants
78031,Georgia,Bitumen - Total energy supply,2000,"Metric tons,  thousand",9.0,,bitumen
17224,Bolivia (Plur. State of),Aviation gasoline - Final energy consumption,1997,"Metric tons,  thousand",4.0,,aviation_gasoline
334630,Sweden,Fuelwood - Consumption by food and tobacco ,2000,"Cubic metres, thousand",9.19540229885057,1.0,fuelwood
1038150,Estonia,Electricity - Consumption by chemical and petrochemical,1999,"Kilowatt-hours, million",406.0,,total_electricity
115538,Canada,Brown coal - production,2013,"Metric tons,  thousand",30626.0,,brown_coal
959118,Poland,Vegetal waste - Consumption by other,2008,Terajoules,32758.0,1.0,other_vegetal_material_and_residues
100305,Bulgaria,Brown Coal Briquettes - Final energy consumption,2011,"Metric tons,  thousand",121.0,,brown_coal_briquettes
618836,Slovenia,Lignite - Production,2002,"Metric tons,  thousand",4686.0,,lignite
1027367,T.F.Yug.Rep. Macedonia,Sub-bituminous coal - Consumption by iron and steel industry,2005,"Metric tons,  thousand",94.0,,sub_bituminous_coal
771383,Other Asia,Naphtha - Imports,1997,"Metric tons,  thousand",1216.0,,naphtha
651542,Egypt,Liquefied petroleum gas (LPG) - Imports,2003,"Metric tons,  thousand",1354.0,,liquified_petroleum_gas
1078561,Czechia,Electricity - Consumption by wood and wood products,1992,"Kilowatt-hours, million",375.0,,total_electricity
486002,Chile,Gasworks Gas - Consumption by other,1993,Terajoules,2686.0,,gasworks_gas
237461,El Salvador,"Electricity - total net installed capacity of electric power plants, hydro",2001,"Kilowatts,  thousand",395.8,,electricity_net_installed_capacity_of_electric_power_plants
1172617,Honduras,Total refinery output,1990,"Metric tons,  thousand",401.0,,total_refinery_output
1178753,Hungary,White spirit and special boiling point industrial spirits - Exports,2001,"Metric tons,  thousand",167.0,,white_spirit_and_special_boiling_point_industrial_spirits
1034794,"Korea, Republic of",Electricity - total thermal production,1995,"Kilowatt-hours, million",111348.0,,thermal_electricity
412241,United Kingdom,Gas Oil/ Diesel Oil - Consumption by transport,2010,"Metric tons,  thousand",23058.0,,gas_oil_diesel_oil
97154,Luxembourg,Brown Coal Briquettes - Consumption by construction ,1996,"Metric tons,  thousand",10.0,,brown_coal_briquettes
999420,United States,Petroleum coke - Production,2014,"Metric tons,  thousand",58142.0,,petroleum_coke
26615,Mali,Aviation gasoline - Total energy supply,2001,"Metric tons,  thousand",0.0,1.0,aviation_gasoline
654752,Niger,Liquefied petroleum gas (LPG) - Losses,2006,"Metric tons,  thousand",0.012,,liquified_petroleum_gas
594302,Greece,Kerosene-type Jet Fuel - International aviation bunkers,1994,"Metric tons,  thousand",883.0,,kerosene_type_jet_fuel
406445,Norway,"Gas Oil/ Diesel Oil - Consumption by paper, pulp and print",1990,"Metric tons,  thousand",9.0,,gas_oil_diesel_oil
1026365,Niger,Electricity - total solar production,2012,"Kilowatt-hours, million",0.005,1.0,solar_electricity
886526,Colombia,Other kerosene - Consumption by chemical and petrochemical,2009,"Metric tons,  thousand",4.0,,other_kerosene
198413,Iceland,"Direct use of geothermal heat - Consumption by agriculture, forestry and fishing",1997,Terajoules,798.0,,direct_use_of_geothermal_heat
637070,China,"Liquefied petroleum gas (LPG) - consumption by other manuf., const. and non-fuel min. ind.",2000,"Metric tons,  thousand",861.0,,liquified_petroleum_gas
1036194,Romania,Electricity - total thermal production,1995,"Kilowatt-hours, million",42573.0,,thermal_electricity
467409,Trinidad and Tobago,Gas Oil/ Diesel Oil - Total energy supply,1991,"Metric tons,  thousand",179.0,,gas_oil_diesel_oil
632250,Ethiopia,Liquefied petroleum gas (LPG) - Consumption by other,2005,"Metric tons,  thousand",0.0,,liquified_petroleum_gas
881218,France,Other bituminous coal - transformation in autoproducer electricity plants,1999,"Metric tons,  thousand",0.0,,other_bituminous_coal
699075,Russian Federation,Lubricants - Production,2010,"Metric tons,  thousand",2723.0,,lubricants
7668,Netherlands,Anthracite - final energy consumption,2006,"Metric tons,  thousand",36.0,,anthracite
1145338,Mauritius,From combustible fuels – Autoproducer,2010,"Kilowatt-hours, million",1590.0,,total_electricity
190710,Libya,Conventional crude oil - transformation in oil refineries,2004,"Metric tons,  thousand",16218.0,,conventional_crude_oil
369656,Argentina,Fuelwood - Total energy supply,2013,"Cubic metres, thousand",3275.0,,fuelwood
45447,Italy,Biogases - Consumption by chemical and petrochemical,2013,Terajoules,283.0,,biogases
252574,Lao People's Dem. Rep.,"Electricity - total net installed capacity of electric power plants, solar",2009,"Kilowatts,  thousand",176.0,1.0,electricity_net_installed_capacity_of_electric_power_plants
1033708,Ethiopia,Electricity - total thermal production,2009,"Kilowatt-hours, million",444.0,,thermal_electricity
1045570,Aruba,Electricity - Consumption by households,2014,"Kilowatt-hours, million",289.7,1.0,total_electricity
853526,New Zealand,Natural gas liquids - Transformation,2010,"Metric tons,  thousand",149.0,,natural_gas_liquids
329862,Romania,Fuel oil - Transformation in electricity plants - autoproducers,2008,"Metric tons,  thousand",8.0,,fuel_oil
1017078,Cyprus,Refinery gas - Production,1997,"Metric tons,  thousand",21.2771,,refinery_gas
1118214,Guadeloupe,Electricity - net production,2010,"Kilowatt-hours, million",1730.0,,total_electricity
47219,Denmark,Biogases - Consumption by other,1990,Terajoules,200.0,,biogases
505497,Other Asia,Hard coal - consumption by textile and leather industry,2010,"Metric tons,  thousand",108.0,,hard_coal
476784,Mexico,"Gas Oil/ Diesel Oil - Transformation in electricity, CHP and heat plants",2006,"Metric tons,  thousand",410.0,,gas_oil_diesel_oil
910424,Guatemala,Other kerosene - Final energy consumption,1995,"Metric tons,  thousand",45.0,,other_kerosene
64258,Nigeria,Bitumen - Final consumption,1997,"Metric tons,  thousand",79.0,,bitumen
1128924,South Africa,"Electricity - Own use by electricity, heat and CHP plants",1998,"Kilowatt-hours, million",12372.0,,total_electricity
1092846,"China, Macao SAR",Electricity - Final energy consumption,2008,"Kilowatt-hours, million",3309.0,,total_electricity
734396,Cyprus,Motor Gasoline - Final energy consumption,2010,"Metric tons,  thousand",390.0,,motor_gasoline
843183,Germany,Natural Gas (including LNG) - transformation in electricity plants - autoproducers,2011,Terajoules,10353.0,,natural_gas_including_lng
206991,Cabo Verde,Electricity generating capacity - Solar PV - Total,2013,"Kilowatts,  thousand",6.42,,electricity_net_installed_capacity_of_electric_power_plants
30006,Australia,"Bagasse - Consumption by other manuf., const. and non-fuel ind.",2009,"Metric tons,  thousand",5480.763005,1.0,bagasse
653748,Slovenia,Liquefied petroleum gas (LPG) - Imports,1995,"Metric tons,  thousand",35.0,,liquified_petroleum_gas
14325,Antigua and Barbuda,Aviation gasoline - Exports,1991,"Metric tons,  thousand",0.0,,aviation_gasoline
533435,Romania,Hrad coal - consumption by iron and steel industry,1990,"Metric tons,  thousand",15.0,,hard_coal
79809,T.F.Yug.Rep. Macedonia,Bitumen - Total energy supply,2009,"Metric tons,  thousand",25.308000000000003,,bitumen
502608,Finland,"Hard coal - consumption by other manuf., const. and non-fuel ind.",1993,"Metric tons,  thousand",699.0,,hard_coal
743489,Brazil,Motor Gasoline - Losses,1996,"Metric tons,  thousand",61.0,,motor_gasoline
41335,France,Biodiesel - Consumption by road,1999,"Metric tons,  thousand",237.0,,biodiesel
270085,Netherlands,Fuel oil - Consumption by non-metallic minerals ,1996,"Metric tons,  thousand",62.0,,fuel_oil
299055,Fiji,Fuel oil - Imports,2002,"Metric tons,  thousand",1.0,,fuel_oil
839912,Italy,Natural Gas (including LNG) - transformation in CHP plants - main activity producers,2002,Terajoules,352430.0,,natural_gas_including_lng
1018074,Portugal,Refinery gas - Production,1990,"Metric tons,  thousand",283.0,,refinery_gas
218820,South Sudan,Electricity - net installed capacity of electric power plants public solar,2014,"Kilowatts,  thousand",1.0,1.0,electricity_net_installed_capacity_of_electric_power_plants
278973,Peru,Fuel oil - Consumption by transport,1998,"Metric tons,  thousand",50.96,,fuel_oil
1070360,Solomon Islands,"Electricity - Consumption by other manuf., const. and non-fuel ind.",2014,"Kilowatt-hours, million",35.2,1.0,total_electricity
66960,Malta,Bitumen - Imports,2006,"Metric tons,  thousand",8.0,,bitumen
306382,Germany,Fuel oil - Own use by oil refineries,2004,"Metric tons,  thousand",1382.0,,fuel_oil
1001465,Venezuela (Bolivar. Rep.),Petroleum coke - Stock changes,1997,"Metric tons,  thousand",109.0,,petroleum_coke
255870,Croatia,Ethane - Production from plants,1998,"Metric tons,  thousand",83.0,,ethane
409348,Greece,Gas Oil/ Diesel Oil - Consumption by transport,2014,"Metric tons,  thousand",2271.0,,gas_oil_diesel_oil
95761,Portugal,"Blast Furnace Gas - Transformation in electricity, CHP and heat plants",1991,Terajoules,787.0,,blast_furnace_gas
10219,Brazil,Aviation gasoline - Consumption by transport,1994,"Metric tons,  thousand",47.0,,aviation_gasoline
338829,Vanuatu,Fuelwood - Consumption by households,2001,"Cubic metres, thousand",88.042,1.0,fuelwood
630033,Other Asia,"Liquefied petroleum gas (LPG) - consumption by manufacturing, construction and non-fuel mining industry",1995,"Metric tons,  thousand",455.0,,liquified_petroleum_gas
942296,"Korea, Republic of",Other oil products n.e.c. - Non-energy uses,2009,"Metric tons,  thousand",595.0,,other_oil_products_n_e_c
893234,State of Palestine,"Other kerosene - Consumption by manufacturing, construction and non-fuel industry",2005,"Metric tons,  thousand",0.5,,other_kerosene
895894,Jordan,Other kerosene - Consumption by other,2005,"Metric tons,  thousand",154.77,,other_kerosene
472163,Sao Tome and Principe,Gas Oil/ Diesel Oil - Transformation,2014,"Metric tons,  thousand",14.5,1.0,gas_oil_diesel_oil
808899,Mexico,Natural gas (including LNG) - energy industries own use,2003,Terajoules,679299.0,,natural_gas_including_lng
970551,China,Paraffin waxes - Final consumption,2008,"Metric tons,  thousand",817.14,,paraffin_waxes
